j1k-0001|殆|"かかる聖賢の<ruby>八個<rt>やたり</rt></ruby>までも相並びつつ世にいでんこと<span class=""underline-kunyomi"">殆</span>ど望みがたき事ならずや。"|"ほとん<span class=""graycolor"">ど</span>"|坪内逍遥|「小説神髄」|訓読み|"<span class=""boldtype"">殆ど・幾ど</span><br>　もう少しのところで。大部分。おおかた。<br>（英）<span lang=""en-US"">almost; mostly; most of</span><br>"|"<!-- Kanji: 殆 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">殆</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">タイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ほとん<span class=""graycolor"">ど</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あや<span class=""graycolor"">うい</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ほとほと</div></div>
    </div>
</div>
"|6
j1k-0004|而|"恰も有情なるものの如く<ruby>爾<rt>しか</rt></ruby>り、<span class=""underline-kunyomi"">而</span>して有情の動物は当然此の性を有す。"|"しか<span class=""graycolor"">して</span>・しこう<span class=""graycolor"">して</span>"|津田真道|「唯物論」|訓読み|"<span class=""boldtype"">而して・然して</span><br>　そして。それから。<br>（英）<span lang=""en-US"">and then; and also</span><br>"|"<!-- Kanji: 而 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">而</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">しか<span class=""graycolor"">して</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">しか<span class=""graycolor"">れども</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">しか<span class=""graycolor"">も</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">しか<span class=""graycolor"">るに</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">なんじ</div></div>
    </div>
</div>
<!--none found-->
"|5
j1k-0005|斯|"蒸気電信の勢力は<span class=""underline-kunyomi"">斯</span>くの如しと<ruby>雖<rt>いえど</rt></ruby>も、特に西洋人の私有に非ず。"|"か<span class=""graycolor"">く</span>"|福沢諭吉|「民情一新」|訓読み|"<span class=""boldtype"">斯くの如し</span><br>　このようである。<br>（英）<span lang=""en-US"">thus; in this way; such</span><br><span class=""boldtype"">斯く</span><br>　このように。こう。<br>（英）<span lang=""en-US"">thus; in this way</span><br>"|"<!-- Kanji: 斯 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">斯</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">シ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こ<span class=""graycolor"">の</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">これ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">か<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">か<span class=""graycolor"">かる</span></div></div>
    </div>
</div>
"|5
j1k-0003|悉|"而して学術の利益勢力を<span class=""underline-kunyomi"">悉</span>く独占せんとする汚き素町人根性を抱懐するものなり。"|"ことごと<span class=""graycolor"">く</span>"|内田魯庵|「時文小言」|訓読み|"<span class=""boldtype"">悉く・尽く</span><br>　例外なくすべて。<br>（英）<span lang=""en-US"">altogether; entirely</span><br>"|"<!-- Kanji: 悉 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">悉</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">シツ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">つく<span class=""graycolor"">す</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ことごと<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">つぶさ<span class=""graycolor"">に</span></div></div>
    </div>
</div>
"|5
j1k-0002|恰|"道ちがえの叢の中には雨風祭の藁人形あり。<span class=""underline-kunyomi"">恰</span>もくたびれたる人の如く仰臥してありたり。"|"あたか<span class=""graycolor"">も</span>"|柳田国男|「遠野物語」|訓読み|"<span class=""boldtype"">恰も・宛も</span><br>　まるで。さながら。まさに。<br>（英）<span lang=""en-US"">as if; just like</span><br>"|"<!-- Kanji: 恰 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">恰</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カッ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">コウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">あたか<span class=""graycolor"">も</span></div></div>
    </div>
</div>
"|5
j1k-0011|漸|"おれは一皿の芋を平げて、机の抽斗から生卵を二つ出して、茶碗の縁でたたき割って、<span class=""underline-kunyomi"">漸</span>く凌いだ。"|"ようや<span class=""graycolor"">く</span>"|夏目漱石|「坊っちゃん」|訓読み|"<span class=""boldtype"">漸く</span><br>　やっとのことで。少しずつ。<br>（英）<span lang=""en-US"">at last; barely; gradually</span><br>"|"<!-- Kanji: 漸 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">漸</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ゼン</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ザン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△ようや<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すす<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△やや</div></div>
    </div>
</div>
"|3
j1k-0008|嘗|"<span class=""underline-kunyomi"">嘗</span>て学舎でＧ師に教わって切れ切れに<ruby>諧<rt>そら</rt></ruby>んじている経文が聞えると、心の騒擾は弥増した。"|"かつ<span class=""graycolor"">て</span>"|嘉村礒多|「崖の下」|訓読み|"<span class=""boldtype"">曽て・嘗て</span><br>　今より前の一時期。以前。むかし。<br>（英）<span lang=""en-US"">once; formerly</span><br>"|"<!-- Kanji: 嘗 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">嘗</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ショウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジョウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">かつ<span class=""graycolor"">て</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">な<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こころ<span class=""graycolor"">みる</span></div></div>
    </div>
</div>
"|4
j1k-0007|頗|"茶盆を片辺へ置いて、<span class=""underline-kunyomi"">頗</span>る丁寧にお<ruby>辞<rt>じ</rt></ruby><ruby>儀<rt>ぎ</rt></ruby>をした女は宿の娘らしい。"|"すこぶ<span class=""graycolor"">る</span>"|伊藤左千夫|「河口湖」|訓読み|"<span class=""boldtype"">頗る</span><br>　非常に。たいそう。<br>（英）<span lang=""en-US"">extremely; very</span><br>"|"<!-- Kanji: 頗 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">頗</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ハ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かたよ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">すこぶ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|4
j1k-0006|夙|"殊に露柴は年かさでもあり、新傾向の俳人としては、<span class=""underline-kunyomi"">夙</span>に名を馳せた男だった。"|"つと<span class=""graycolor"">に</span>"|芥川龍之介|「魚河岸」|訓読み|"<span class=""boldtype"">夙に</span><br>　朝早くから。以前から。<br>（英）<span lang=""en-US"">early in the morning; since long ago</span><br>"|"<!-- Kanji: 夙 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">夙</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">シュク</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">つと<span class=""graycolor"">に</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">はや<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">まだき</div></div>
    </div>
</div>
"|4
j1k-0051|稗史|"東西古今にその類なき好<span class=""underline-kunyomi"">稗史</span>なりというべけれど、他の人情を主脳としてこの物語を論いなば、<ruby>瑕<rt>きず</rt></ruby>なき玉とは称えがたし。"|はいし|坪内逍遥|「小説神髄」|音読み|"<span class=""boldtype"">稗史</span><br>　民間の<ruby><span class=""kun-mnemonic-j1k"">稗</span><rt><span class=""kun-rt"">こま</span></rt></ruby>かい話を記録した<ruby><span class=""kun-mnemonic"">史</span><rt><span class=""kun-rt"">ふみ</span></rt></ruby>。また、公認されていない民間の歴史書。<br>（英）<span lang=""en-US"">people's history of China</span><br>（<span lang=""en-US"">Refers to gossip and folktales collected by officials and presented to the king.</span>）<br>"|"<!-- Kanji: 稗 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">稗</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ハイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ひえ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こま<span class=""graycolor"">かい</span></div></div>
    </div>
</div>
<!-- Kanji: 史 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">史</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">シ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ふみ</div></div>
    </div>
</div>
"|2
