j1k-0014|"知人の華<span class=""wrong-kanji"">飾</span>の典で清楚な女が私を一<br>瞥して相好を崩して微笑んでくれた"|"飾<span class=""rightarrow"">⇒</span>燭"|華燭|"<span class=""boldtype"">華燭の典</span><br>　結婚式。<br>（英）<span lang=""en-US"">wedding ceremony</span><br><span class=""boldtype highlight"">華燭</span><br>　婚礼の席などの<ruby><span>華</span><rt><span>はな</span></rt></ruby>やかな<ruby><span class=""kun-mnemonic-j1k"">燭</span><rt><span class=""kun-rt"">ともしび</span></rt></ruby>。<br>（英）<span lang=""en-US"">bright light; wedding ceremony</span><br>"|"<!-- Kanji: 飾 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">飾</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショク</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かざ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
<!-- Kanji: 燭 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">燭</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショク</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ソク</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ともしび</div></div>
    </div>
</div>
"|1
j1k-0005|"知人の華燭の典で清<span class=""wrong-kanji"">蘇</span>な女が私を一<br>瞥して相好を崩して微笑んでくれた"|"蘇<span class=""rightarrow"">⇒</span>楚"|清楚|"<span class=""boldtype"">清楚</span><br>　飾り気がなくて清らかなこと。また、そのさま。<br>（英）<span lang=""en-US"">neat and clean; tidy</span><br>"|"<!-- Kanji: 蘇 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">蘇</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ソ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ス</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ふさ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">よみがえ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
<!-- Kanji: 楚 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">楚</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ソ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">いばら</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">しもと</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">むち</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">すわえ</div></div>
    </div>
</div>
"|2
j1k-0064|"知人の華燭の典で清楚な女が私を一<br><span class=""wrong-kanji"">蔑</span>して相好を崩して微笑んでくれた"|"蔑<span class=""rightarrow"">⇒</span>瞥"|一瞥|"<span class=""boldtype"">一瞥</span><br>　ちらりと見ること。ちょっと見ること。<br>（英）<span lang=""en-US"">a single glance</span><br>"|"<!-- Kanji: 蔑 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">蔑</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ベツ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　さげす<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ないがし<span class=""graycolor"">ろ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△なみ<span class=""graycolor"">する</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ちい<span class=""graycolor"">さい</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△くら<span class=""graycolor"">い</span></div></div>
    </div>
</div>
<!-- Kanji: 瞥 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">瞥</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ベツ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">み<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|1
j1k-0205|"知人の華燭の典で清楚な女が私を一<br>瞥して相<span class=""wrong-kanji"">合</span>を崩して微笑んでくれた"|"合<span class=""rightarrow"">⇒</span>好"|相好|"<span class=""boldtype"">相好を崩す</span><br>　にこやかな表情になる。<br>（英）<span lang=""en-US"">to break into a smile</span><br><span class=""boldtype highlight"">相好</span><br>　顔つき。表情。<br>（英）<span lang=""en-US"">facial expression</span><br>"|"<!-- Kanji: 合 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">合</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　ゴウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ガッ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　カッ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△コウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あ<span class=""graycolor"">う</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あ<span class=""graycolor"">わす</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あ<span class=""graycolor"">わせる</span></div></div>
    </div>
</div>
<!-- Kanji: 好 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">好</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">コウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　この<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　す<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△よ<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△よしみ</div></div>
    </div>
</div>
"|1
j1k-0028|"苦<span class=""wrong-kanji"">問</span>の末に辿り着いた山里は煙霞の<br>中に浮かぶ比倫を絶する勝地だった"|"問<span class=""rightarrow"">⇒</span>悶"|苦悶|"<span class=""boldtype"">苦悶</span><br>　<ruby><span>苦</span><rt><span>くる</span></rt></ruby>しみ<ruby><span class=""kun-mnemonic-j1k"">悶</span><rt><span class=""kun-rt"">もだ</span></rt></ruby>えること。<br>（英）<span lang=""en-US"">anguish</span><br>"|"<!-- Kanji: 問 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">問</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　モン</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ブン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　と<span class=""graycolor"">う</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　と<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　とん</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たず<span class=""graycolor"">ねる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△おとず<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たよ<span class=""graycolor"">り</span></div></div>
    </div>
</div>
<!-- Kanji: 悶 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">悶</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">モン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">もだ<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|1
j1k-0076|"苦悶の末に辿り着いた山里は煙霞の<br>中に浮かぶ比<span class=""wrong-kanji"">隣</span>を絶する勝地だった"|"隣<span class=""rightarrow"">⇒</span>倫"|比倫|"<span class=""boldtype"">比倫を絶する</span><br>　他よりすぐれている。絶倫の。<br>（英）<span lang=""en-US"">matchless; peerless</span><br><span class=""boldtype highlight"">比倫</span><br>　ならぶもの。たぐい。<br>（英）<span lang=""en-US"">match; equal</span><br><span class=""boldtype"">比隣</span><br>　軒を並べる隣家。近隣。<br>（英）<span lang=""en-US"">neighborhood</span><br>"|"<!-- Kanji: 隣 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">隣</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">リン</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">とな<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">となり</div></div>
    </div>
</div>
<!-- Kanji: 倫 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">倫</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">リン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たぐい</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△つい<span class=""graycolor"">で</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△みち</div></div>
    </div>
</div>
"|1
j1k-0034|"苦悶の末に辿り着いた山里は煙霞の<br>中に浮かぶ比倫を絶する<span class=""wrong-kanji"">賞</span>地だった"|"賞<span class=""rightarrow"">⇒</span>勝"|勝地|"<span class=""boldtype"">勝地</span><br>　景勝の地。景色のよい所。<br>（英）<span lang=""en-US"">scenic spot</span><br>"|"<!-- Kanji: 賞 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">賞</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ほ<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△め<span class=""graycolor"">でる</span></div></div>
    </div>
</div>
<!-- Kanji: 勝 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">勝</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　か<span class=""graycolor"">つ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　まさ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△すぐ<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲た<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|1
j1k-0201|"企業は崖っ<span class=""wrong-kanji"">淵</span>に立ちながら、索莫と<br>した状態で隆昌の曙光を待っていた"|"淵<span class=""rightarrow"">⇒</span>縁"|崖っ縁|"<span class=""boldtype highlight"">崖っ縁</span><br>　崖の上の地の先端部分。転じて、限界ぎりぎりにある状況・状態。<br>（英）<span lang=""en-US"">edge of a cliff; peril</span><br><span class=""boldtype"">縁</span><br>　物のまわり。はし。<br>（英）<span lang=""en-US"">rim; brink; edge</span><br><span class=""boldtype"">淵</span><br>　水を深く湛えている所。<br>（英）<span lang=""en-US"">depths; abyss</span><br>"|"<!-- Kanji: 淵 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">淵</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">エン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ふち</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ふか<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おくぶか<span class=""graycolor"">い</span></div></div>
    </div>
</div>
<!-- Kanji: 縁 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">縁</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">エン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　ふち</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△へり</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△よ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△えにし</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ゆかり</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲よすが</div></div>
    </div>
</div>
"|1
j1k-0214|"企業は崖っ縁に立ちながら、<span class=""wrong-kanji"">錯</span>莫と<br>した状態で隆昌の曙光を待っていた"|"錯<span class=""rightarrow"">⇒</span>索"|索莫|"<span class=""boldtype"">索莫（索漠）</span><br>　味気なく物寂しいさま。<br>（英）<span lang=""en-US"">bleak; desolate</span><br>"|"<!-- Kanji: 錯 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">錯</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div style=""flex: 1 1 20em; padding-left: 1px"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　サク</div></div>
        <div style=""flex: 1 1 10em; padding-left: 0px"" class=""css-cell"" align=""center""><div class=""table-reading"">△ソ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""on-equals-kun css-cell"" align=""center""><div class=""table-reading"">△ま<span class=""graycolor"">じる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""on-equals-kun css-cell"" align=""center""><div class=""table-reading"">△あやま<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""on-equals-kun css-cell"" align=""center""><div class=""table-reading"">△お<span class=""graycolor"">く</span></div></div>
    </div>
</div>
<!-- Kanji: 索 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">索</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">サク</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△つな</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△なわ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△もと<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△さが<span class=""graycolor"">す</span></div></div>
    </div>
</div>
"|1
j1k-0136|"企業は崖っ縁に立ちながら、索莫と<br>した状態で隆<span class=""wrong-kanji"">昇</span>の曙光を待っていた"|"昇<span class=""rightarrow"">⇒</span>昌"|隆昌|"<span class=""boldtype"">隆昌</span><br>　盛んなこと。栄えること。<br>（英）<span lang=""en-US"">prosperity</span><br>"|"<!-- Kanji: 昇 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">昇</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショウ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">のぼ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
<!-- Kanji: 昌 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">昌</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ショウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">さか<span class=""graycolor"">ん</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うつく<span class=""graycolor"">しい</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">みだ<span class=""graycolor"">れる</span></div></div>
    </div>
</div>
"|1
