#separator:Pipe
#html:true
#notetype:kanken_hyougai
#deck:漢字検定 準1級 問題集::㈡ 表外の読み
j1k-0004|詰|"母親が弟を厳しく<span class=""underline-kunyomi"">詰</span>った"|"なじ<span class=""graycolor"">る</span>"|訓読み|"<span class=""boldtype"">詰る</span><br>　問い詰めてとがめる。責める。<br>（英）<span lang=""en-US"">to rebuke; to harp on; to cross-examine</span><br>"|"<!-- Kanji: 詰 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">詰</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">キツ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　つ<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　つ<span class=""graycolor"">まる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　つ<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△なじ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|4
j1k-0006|設|"和室に床の間を<span class=""underline-kunyomi"">設</span>える"|"しつら<span class=""graycolor"">える</span>"|訓読み|"<span class=""boldtype"">設える</span><br>　備え付ける。設備する。もうける。<br>（英）<span lang=""en-US"">to arrange; to provide; to install</span><br>"|"<!-- Kanji: 設 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">設</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　セツ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△セチ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　もう<span class=""graycolor"">ける</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△しつら<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|4
j1k-0005|具|"先生が<span class=""underline-kunyomi"">具</span>に説明してくれた"|"つぶさ<span class=""graycolor"">に</span>"|訓読み|"<span class=""boldtype"">具に</span><br>　すべてをもれなく。ことごとく。<br>（英）<span lang=""en-US"">in detail; with great care</span><br>"|"<!-- Kanji: 具 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">具</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">グ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△つぶさ<span class=""graycolor"">に</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△そな<span class=""graycolor"">える</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△そな<span class=""graycolor"">わる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△そろ<span class=""graycolor"">い</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲つま</div></div>
    </div>
</div>
"|4
j1k-0007|肖|"父上の幸運に<span class=""underline-kunyomi"">肖</span>りたい"|"あやか<span class=""graycolor"">る</span>"|訓読み|"<span class=""boldtype"">肖る</span><br>　感化されて、同じようになる。似る。<br>（英）<span lang=""en-US"">to share one's good luck; to take after</span><br>"|"<!-- Kanji: 肖 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">肖</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ショウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△に<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△かたど<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△あやか<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|4
j1k-0017|縦|"権力を<span class=""underline-kunyomi"">縦</span>に振るう"|ほしいまま|訓読み|"<span class=""boldtype"">縦</span><br>　気の向くまま。<br>（英）<span lang=""en-US"">selfish; arbitrary</span><br>"|"<!-- Kanji: 縦 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">縦</div></div>
    </div>
    <div class=""css-row on-readings"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ジュウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ショウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　たて</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△はな<span class=""graycolor"">つ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ゆる<span class=""graycolor"">す</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ゆる<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△ほしいまま</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲よし<span class=""graycolor"">んば</span></div></div>
    </div>
</div>
"|3
j1k-0056|偏|"<span class=""underline-kunyomi"">偏</span>に前任者某氏の功績である"|"ひとえ<span class=""graycolor"">に</span>"|訓読み|"<span class=""boldtype"">偏に</span><br>　一途に。ひたすら。<br>（英）<span lang=""en-US"">entirely; solely</span><br>"|"<!-- Kanji: 偏 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">偏</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ヘン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　かたよ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△ひとえ<span class=""graycolor"">に</span></div></div>
    </div>
</div>
"|2
j1k-0013|閲|"重要な書類を<span class=""underline-kunyomi"">閲</span>する"|"けみ<span class=""graycolor"">する</span>"|訓読み|"<span class=""boldtype"">閲する</span><br>　年月を過ごす。経る。また、見て確かめる。<br>（英）<span lang=""en-US"">to elapse; to inspect</span><br>"|"<!-- Kanji: 閲 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">閲</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">エツ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△けみ<span class=""graycolor"">する</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△へ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|4
j1k-0018|邪|"<span class=""underline-kunyomi"">邪</span>な思いが頭を過った"|よこしま|訓読み|"<span class=""boldtype"">邪</span><br>　正しくないこと。<br>（英）<span lang=""en-US"">evil; wicked</span><br>"|"<!-- Kanji: 邪 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">邪</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ジャ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△シャ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ヤ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△よこしま</div></div>
    </div>
</div>
"|3
j1k-0012|徐|"先生は<span class=""underline-kunyomi"">徐</span>に黒板に書き始めた"|"おもむろ<span class=""graycolor"">に</span>"|訓読み|"<span class=""boldtype"">徐に</span><br>　落ち着いて、ゆっくりしている様子で。<br>（英）<span lang=""en-US"">slowly; deliberately</span><br>"|"<!-- Kanji: 徐 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">徐</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジョ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△おもむろ</div></div>
    </div>
</div>
"|4
j1k-0001|辱|"皆様のお志は誠に<span class=""underline-kunyomi"">辱</span>い"|"かたじけな<span class=""graycolor"">い</span>"|訓読み|"<span class=""boldtype"">辱い</span><br>　感謝に堪えない。ありがたい。<br>（英）<span lang=""en-US"">grateful</span><br>"|"<!-- Kanji: 辱 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">辱</div></div>
    </div>
    <div class=""css-row on-readings"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　ジョク</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ニク</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　はずかし<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△はじ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△はずかし<span class=""graycolor"">め</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△かたじけな<span class=""graycolor"">い</span></div></div>
    </div>
</div>
"|5
