#separator:Pipe
#html:true
#notetype:kanken_kakitori
#deck:漢字検定 準1級 問題集::㈤ 書き取り
j1k-0001|ナダ|"怒っている妹を<span class=""underline-kunyomi"">ナダ</span>めた"|宥|訓読み|"<span class=""boldtype"">宥める</span><br>　人の怒りや悲しみなどを和らげ落ち着かせる。<br>（英）<span lang=""en-US"">to soothe; to calm down</span><br>"|"<!-- Kanji: 宥 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">宥</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ユウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ゆる<span class=""graycolor"">す</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">なだ<span class=""graycolor"">める</span></div></div>
    </div>
</div>
"|5
j1k-0013|サ|"目が<span class=""underline-kunyomi"">サ</span>えて眠れない"|冴・（冱）|訓読み|"<span class=""boldtype"">目が冴える</span><br>　神経が高ぶって、眠気がなくなる。<br>（英）<span lang=""en-US"">to be wide awake</span><br><span class=""boldtype"">冴える</span><br>　くっきりと澄む。はっきりと見える。<br>（英）<span lang=""en-US"">to be clear; to be sharp</span><br>"|"<!-- Kanji: 冴 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">冴</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ゴ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">さ<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|4
j1k-0002|コンポウ|"新しい商品を丁寧に<span class=""underline-kunyomi"">コンポウ</span>する"|梱包|音読み|"<span class=""boldtype"">梱包</span><br>　包装して荷造りすること。また、その荷物。<br>（英）<span lang=""en-US"">packing; packaging</span><br>"|"<!-- Kanji: 梱 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">梱</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">コン</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こり</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こうり</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">しきみ</div></div>
    </div>
</div>
<!-- Kanji: 包 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">包</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ホウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　つつ<span class=""graycolor"">む</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">▲くる<span class=""graycolor"">む</span></div></div>
    </div>
</div>
"|5
j1k-0169|ロウエイ|"機密情報の<span class=""underline-kunyomi"">ロウエイ</span>が発覚した"|漏洩・（漏泄）|音読み|"<span class=""boldtype"">漏洩</span><br>　液体・秘密が漏れること。<br>（英）<span lang=""en-US"">leak; divulging</span><br>"|"<!-- Kanji: 漏 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">漏</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ロウ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">も<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">も<span class=""graycolor"">れる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">も<span class=""graycolor"">らす</span></div></div>
    </div>
</div>
<!-- Kanji: 洩 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">洩</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">エイ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">セツ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">の<span class=""graycolor"">びる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">も<span class=""graycolor"">れる</span></div></div>
    </div>
</div>
"|1
j1k-0010|オヒレ|"昨日の噂話には<span class=""underline-kunyomi"">オヒレ</span>が付いた"|尾鰭|訓読み|"<span class=""boldtype"">尾鰭が付く</span><br>　話が伝わる間に事実ではないことが付け加えられて大袈裟になる。<br>（英）<span lang=""en-US"">to become exaggerated over time</span><br><span class=""boldtype"">尾鰭</span><br>　魚の尾と鰭。転じて、本体ではないもの。<br>（英）<span lang=""en-US"">tail and fins</span><br>（<span lang=""en-US"">Used in expressions as a metaphor for something that has been added on top of a true form.</span>）<br>"|"<!-- Kanji: 尾 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">尾</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ビ</div></div>
    </div>
    <div class=""css-row kun-readings len-one"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">お</div></div>
    </div>
</div>
<!-- Kanji: 鰭 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">鰭</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">キ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ひれ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">はた</div></div>
    </div>
</div>
"|5
j1k-0011|ワシヅカ|"父の手を<span class=""underline-kunyomi"">ワシヅカ</span>みにして引っ張る"|鷲摑|訓読み|"<span class=""boldtype"">鷲摑み</span><br>　鷲が獲物を摑むように、乱暴に物をつかみとること。<br>（英）<span lang=""en-US"">clutching firmly</span><br><span class=""boldtype"">鷲</span><br>　タカ目タカ科に属する鳥のうち、大形の物の総称。<br>（英）<span lang=""en-US"">eagle</span><br>（学）<span lang=la><em>Accipitridae spp.</em></span><br><span class=""boldtype"">摑む</span><br>　手でしっかり握って持つ。自分のものとする。<br>（英）<span lang=""en-US"">to grab; to seize</span><br><div class=""photo""><div class=""polaroid""><img src=""haliaeetus_leucocephalus.png""><div class=""caption"">作者：<a href=""https://commons.wikimedia.org/wiki/User:Plenz"" target=""_blank"">Paul Lenz</a><br>許可：<a href=""https://creativecommons.org/public-domain/"" target=""_blank"">Public domain</a></div></div></div>"|"<!-- Kanji: 鷲 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">鷲</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">シュウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ジュ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">わし</div></div>
    </div>
</div>
<!-- Kanji: 摑 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">摑</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カク</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">つか<span class=""graycolor"">む</span></div></div>
    </div>
</div>
"|5
j1k-0012|ガイカ|"<span class=""underline-kunyomi"">ガイカ</span>をあげて帰還する"|凱歌|音読み|"<span class=""boldtype"">凱歌</span><br>　勝利を祝う歌。かちどき。<br>（英）<span lang=""en-US"">victory song</span><br>"|"<!-- Kanji: 凱 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">凱</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カイ</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ガイ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かちどき</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">やわ<span class=""graycolor"">らぐ</span></div></div>
    </div>
</div>
<!-- Kanji: 歌 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">歌</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">カ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うた</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うた<span class=""graycolor"">う</span></div></div>
    </div>
</div>
"|4
j1k-0019|ナ|"強風で看板が<span class=""underline-kunyomi"">ナ</span>ぎ倒された"|薙|訓読み|"<span class=""boldtype"">薙ぐ</span><br>　横に払って切る。倒す。<br>（英）<span lang=""en-US"">to mow down; to cut down</span><br>"|"<!-- Kanji: 薙 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">薙</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">テイ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">チ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">な<span class=""graycolor"">ぐ</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">か<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">そ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|4
j1k-0008|アッセン|"新しい仕事の<span class=""underline-kunyomi"">アッセン</span>をしてくれた"|斡旋|音読み|"<span class=""boldtype"">斡旋</span><br>　交渉や商売などで、両方の者を仲立ちすること。<br>（英）<span lang=""en-US"">good offices; mediation</span><br>"|"<!-- Kanji: 斡 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">斡</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div style=""flex: 1 1 10em; padding-left: 0px"" class=""css-cell used-reading"" align=""center""><div class=""table-reading"">アツ</div></div>
        <div style=""flex: 1 1 10em; padding-left: 0px"" class=""css-cell"" align=""center""><div class=""table-reading"">カン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""on-equals-kun css-cell"" align=""center""><div class=""table-reading"">めぐ<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""on-equals-kun css-cell"" align=""center""><div class=""table-reading"">つかさど<span class=""graycolor"">る</span></div></div>
    </div>
</div>
<!-- Kanji: 旋 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">旋</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">セン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△めぐ<span class=""graycolor"">る</span></div></div>
    </div>
</div>
"|5
j1k-0307|ダイタイコツ|"事故で<span class=""underline-kunyomi"">ダイタイコツ</span>が折れた"|大腿骨|音読み|"<span class=""boldtype"">大腿骨</span><br>　ふとももの骨。<br>（英）<span lang=""en-US"">thighbone; femur</span><br>"|"<!-- Kanji: 大 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">大</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　ダイ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">　タイ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△タ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△ダ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おお</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おお<span class=""graycolor"">きい</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おお<span class=""graycolor"">いに</span></div></div>
    </div>
</div>
<!-- Kanji: 腿 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">腿</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">タイ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">もも</div></div>
    </div>
</div>
<!-- Kanji: 骨 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">骨</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">コツ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ほね</div></div>
    </div>
</div>
"|1
