j1k-0011|厩舎|"<span class=""underline-kunyomi"">厩舎</span>の扉をそっと開けた"|きゅうしゃ|音読み|"<span class=""boldtype"">厩舎</span><br>　牛や馬を教育する小屋。<br>（英）<span lang=""en-US"">stable; barn</span><br>"|"<!-- Kanji: 厩 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">厩</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">キュウ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">うまや</div></div>
    </div>
</div>
<!-- Kanji: 舎 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">舎</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　シャ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△セキ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△いえ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△やど</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△やど<span class=""graycolor"">る</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△お<span class=""graycolor"">く</span></div></div>
    </div>
</div>
"|4
j1k-0006|誰何|"警衛の者に<span class=""underline-kunyomi"">誰何</span>された"|すいか|音読み|"<span class=""boldtype"">誰何</span><br>　相手が何者か問いただすこと。<br>（英）<span lang=""en-US"">asking who goes there</span><br>"|"<!-- Kanji: 誰 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">誰</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">△スイ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　だれ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たれ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△た</div></div>
    </div>
</div>
<!-- Kanji: 何 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">何</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">カ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　なに</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　なん</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△いず<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△いず<span class=""graycolor"">れ</span></div></div>
    </div>
</div>
"|4
j1k-0005|紐帯|"文化は人々を繫げる<span class=""underline-kunyomi"">紐帯</span>である"|ちゅうたい・じゅうたい|音読み|"<span class=""boldtype"">紐帯</span><br>　<ruby><span class=""kun-mnemonic-j1k"">紐</span><rt><span class=""kun-rt"">ひも</span></rt></ruby>と<ruby><span class=""kun-mnemonic"">帯</span><rt><span class=""kun-rt"">おび</span></rt></ruby>。転じて、結びつき。<br>（英）<span lang=""en-US"">bonds; connection</span><br>"|"<!-- Kanji: 紐 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">紐</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ジュウ</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">チュウ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ひも</div></div>
    </div>
</div>
<!-- Kanji: 帯 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">帯</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">タイ</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">お<span class=""graycolor"">びる</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">おび</div></div>
    </div>
</div>
"|4
j1k-0002|杏林|"<span class=""underline-kunyomi"">杏林</span>に入ることを夢見た"|きょうりん|音読み|"<span class=""boldtype"">杏林</span><br>　<ruby><span class=""kun-mnemonic-j1k"">杏</span><rt><span class=""kun-rt"">あんず</span></rt></ruby>の<ruby><span class=""kun-mnemonic"">林</span><rt><span class=""kun-rt"">はやし</span></rt></ruby>。また、医者の別称。<br>（英）<span lang=""en-US"">apricot grove</span><br>（<span lang=""en-US"">The term is also used as a metaphor for a medical professional, in reference to the physician Dong Feng (董奉) who, instead of asking for payment for his services, asked each patient of his to plant an apricot kernel outside his house.</span>）<br>"|"<!-- Kanji: 杏 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">杏</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">キョウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">アン</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">あんず</div></div>
    </div>
</div>
<!-- Kanji: 林 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">林</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">リン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　はやし</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△おお<span class=""graycolor"">い</span></div></div>
    </div>
</div>
"|5
j1k-0004|荏苒|"<span class=""underline-kunyomi"">荏苒</span>と待っていて機を逸する"|じんぜん|音読み|"<span class=""boldtype"">荏苒</span><br>　何もせず月日が過ぎるさま。<br>（英）<span lang=""en-US"">idling; procrastinating</span><br>"|"<!-- Kanji: 荏 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">荏</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ジン</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ニン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">え</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">やわ<span class=""graycolor"">らか</span></div></div>
    </div>
</div>
<!-- Kanji: 苒 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">苒</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ゼン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading""></div></div>
    </div>
</div>
"|5
j1k-0024|椿事|"想像を絶する<span class=""underline-kunyomi"">椿事</span>があった"|ちんじ|音読み|"<span class=""boldtype"">椿事（珍事）</span><br>　思いがけない出来事。<br>（英）<span lang=""en-US"">strange or unprecedented event</span><br>"|"<!-- Kanji: 椿 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">椿</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">チン</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">つばき</div></div>
    </div>
</div>
<!-- Kanji: 事 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">事</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ジ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">ズ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">　こと</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△つか<span class=""graycolor"">える</span></div></div>
    </div>
</div>
"|3
j1k-0013|彼此|"<span class=""underline-kunyomi"">彼此</span>の懸隔は甚だしい"|ひし|音読み|"<span class=""boldtype"">彼此</span><br>　<ruby><span class=""kun-mnemonic"">彼</span><rt><span class=""kun-rt"">かれ</span></rt></ruby>と<ruby><span class=""kun-mnemonic-j1k"">此</span><rt><span class=""kun-rt"">これ</span></rt></ruby>。あちらと、こちら。<br>（英）<span lang=""en-US"">this and that</span><br>"|"<!-- Kanji: 彼 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">彼</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ヒ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かれ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かの</div></div>
    </div>
</div>
<!-- Kanji: 此 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">此</div></div>
    </div>
    <div class=""css-row on-readings len-one"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">シ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">こ<span class=""graycolor"">の</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">これ</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">か<span class=""graycolor"">く</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">ここ</div></div>
    </div>
</div>
"|4
j1k-0023|尤物|"この者は実に<span class=""underline-kunyomi"">尤物</span>だ"|ゆうぶつ|音読み|"<span class=""boldtype"">尤物</span><br>　<ruby><span class=""kun-mnemonic-j1k"">尤</span><rt><span class=""kun-rt"">すぐ</span></rt></ruby>れた<ruby><span class=""kun-mnemonic"">物</span><rt><span class=""kun-rt"">もの</span></rt></ruby>。特にすぐれた人物や品物。<br>（英）<span lang=""en-US"">something quite special</span><br>"|"<!-- Kanji: 尤 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">尤</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ユウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">とが<span class=""graycolor"">める</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">もっと<span class=""graycolor"">も</span></div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">すぐ<span class=""graycolor"">れる</span></div></div>
    </div>
</div>
<!-- Kanji: 物 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">物</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ブツ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">モツ</div></div>
    </div>
    <div class=""css-row kun-readings len-two"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">もの</div></div>
    </div>
</div>
"|3
j1k-0063|兜巾|"山伏は頭に<span class=""underline-kunyomi"">兜巾</span>を被った"|ときん|音読み|"<span class=""boldtype"">兜巾（頭巾）</span><br>　山伏の被る小さな頭巾。<br>（英）<span lang=""en-US"">a small box-shaped hat</span><br>（<span lang=""en-US"">Traditionally part of the uniform worn by mountain ascetic hermits in Japan.</span>）<br><div class=""photo""><div class=""polaroid""><img src=""yamabushi.jpg""><div class=""caption"">作者：<a href=""https://www.flickr.com/photos/mshades/"" target=""_blank"">Chris Gladis</a><br>許可：<a href=""https://creativecommons.org/licenses/by-nd/2.0/"" target=""_blank"">CC BY-ND 2.0</a></div></div></div>"|"<!-- Kanji: 兜 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">兜</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">トウ</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ト</div></div>
    </div>
    <div class=""css-row kun-readings len-three"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かぶと</div></div>
    </div>
</div>
<!-- Kanji: 巾 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">巾</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">キン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ふきん</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△かぶりもの</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△きれ</div></div>
    </div>
</div>
"|3
j1k-0001|萱堂|"師匠のご<span class=""underline-kunyomi"">萱堂</span>に拝謁しました"|けんどう|音読み|"<span class=""boldtype"">萱堂</span><br>　母を敬っていう語。ははうえ。<br>（英）<span lang=""en-US"">mother</span><br>（<span lang=""en-US"">Archaic and honorific term.</span>）<br>"|"<!-- Kanji: 萱 -->
<div class=""css-table kanji-jisho jisho-j1k"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">萱</div></div>
    </div>
    <div class=""css-row on-readings len-two"">
        <div class=""css-cell"" align=""center""><div class=""table-reading"">カン</div></div>
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">ケン</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">かや</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">わすれぐさ</div></div>
    </div>
</div>
<!-- Kanji: 堂 -->
<div class=""css-table kanji-jisho jisho-joyo"">
    <div class=""css-row"">
        <div class=""css-header""><div class=""table-kanji"">堂</div></div>
    </div>
    <div class=""css-row on-readings len-three"">
        <div class=""css-cell used-reading"" align=""center""><div class=""table-reading"">　ドウ</div></div>
        <div class=""css-cell"" align=""center""><div class=""table-reading"">△トウ</div></div>
    </div>
    <div class=""css-row kun-readings"">
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△ざしき</div></div>
        <div style=""flex: 1 1 10em;"" class=""css-cell"" align=""center""><div class=""table-reading"">△たかどの</div></div>
    </div>
</div>
"|5
